Time,From,To,FromBytes,ToBytes
1735663235139,ip-10-0-41-150,mem-185.47.220.85.jmnet.cz,4492,6668
1735663235139,ip-10-0-41-150,ec2-52-211-210-127.eu-west-1.compute.am,84,84
1735663236163,ip-10-0-41-150,mem-185.47.220.85.jmnet.cz,6732,10340
1735663236163,ip-10-0-41-150,ec2-52-211-210-127.eu-west-1.compute.am,168,168
1735663236163,ip-10-0-41-150,10.0.0.2,81,168
1735663237187,ip-10-0-41-150,mem-185.47.220.85.jmnet.cz,7044,10392
1735663237187,ip-10-0-41-150,ec2-52-211-210-127.eu-west-1.compute.am,252,252
1735663237187,ip-10-0-41-150,10.0.0.2,159,333
1735663238211,ip-10-0-41-150,mem-185.47.220.85.jmnet.cz,7468,10444
1735663238211,ip-10-0-41-150,ec2-52-211-210-127.eu-west-1.compute.am,336,336
1735663238211,ip-10-0-41-150,10.0.0.2,159,333
1735663238211,ip-10-0-41-150,169.254.169.123,76,76
1735663239235,ip-10-0-41-150,mem-185.47.220.85.jmnet.cz,7892,10496
1735663239235,ip-10-0-41-150,ec2-52-211-210-127.eu-west-1.compute.am,420,420
1735663239235,ip-10-0-41-150,10.0.0.2,159,333
1735663239235,ip-10-0-41-150,169.254.169.123,76,76
1735663240259,ip-10-0-41-150,mem-185.47.220.85.jmnet.cz,8428,10548
1735663240260,ip-10-0-41-150,ec2-52-211-210-127.eu-west-1.compute.am,420,420
1735663240260,ip-10-0-41-150,10.0.0.2,159,333
1735663240260,ip-10-0-41-150,169.254.169.123,76,76
1735663241283,ip-10-0-41-150,mem-185.47.220.85.jmnet.cz,9016,10688
1735663241283,ip-10-0-41-150,ec2-52-211-210-127.eu-west-1.compute.am,504,504
1735663241283,ip-10-0-41-150,10.0.0.2,159,333
1735663241283,ip-10-0-41-150,169.254.169.123,76,76
1735663242307,ip-10-0-41-150,mem-185.47.220.85.jmnet.cz,9640,10792
1735663242307,ip-10-0-41-150,ec2-52-211-210-127.eu-west-1.compute.am,588,588
1735663242307,ip-10-0-41-150,169.254.169.123,76,76
1735663242307,ip-10-0-41-150,10.0.0.2,159,333
1735663243331,ip-10-0-41-150,mem-185.47.220.85.jmnet.cz,10264,10844
1735663243331,ip-10-0-41-150,ec2-52-211-210-127.eu-west-1.compute.am,672,672
1735663243331,ip-10-0-41-150,10.0.0.2,159,333
1735663243331,ip-10-0-41-150,169.254.169.123,76,76
