Timestamp,Elapsed_time,CPU_util,Mem_util,Net_util,Disk_util
1735738602,0,100.0,49.7,0.0,0.43
1735738603,1,100.0,50.2,0.0,0.44
1735738604,2,100.0,50.2,0.0,0.03
1735738605,3,100.0,50.2,0.0,0.0
1735738606,4,100.0,50.2,0.0,0.0
1735738607,5,100.0,50.2,0.0,0.0
1735738608,6,100.0,50.2,0.0,0.0
1735738609,7,100.0,50.2,0.0,0.0
1735738611,9,100.0,50.2,0.0,0.0
1735738612,10,100.0,50.0,0.01,0.02
1735738613,11,100.0,50.0,0.01,0.0
1735738614,12,100.0,50.0,0.0,0.0
1735738615,13,100.0,49.8,0.01,0.02
1735738616,14,100.0,49.8,0.01,0.02
1735738617,15,100.0,49.8,0.0,0.02
1735738618,16,100.0,49.8,0.01,0.0
