x_var,Calvin_throughput,Calvin_p50,Calvin_p90,Calvin_p95,Calvin_p99,Calvin_aborts,Calvin_bytes,Calvin_cost,SLOG_throughput,SLOG_p50,SLOG_p90,SLOG_p95,SLOG_p99,SLOG_aborts,SLOG_bytes,SLOG_cost,Detock_throughput,Detock_p50,Detock_p90,Detock_p95,Detock_p99,Detock_aborts,Detock_bytes,Detock_cost,Caerus_throughput,Caerus_p50,Caerus_p90,Caerus_p95,Caerus_p99,Caerus_aborts,Caerus_bytes,Caerus_cost,Mencius_throughput,Mencius_p50,Mencius_p90,Mencius_p95,Mencius_p99,Mencius_aborts,Mencius_bytes,Mencius_cost
0.0,,,,,,,,,,,,,,,,,11729,262.637484,816.8866042000008,966.1926258999998,1063.6905589,0.0,0,14.336,,,,,,,,,,,,,,,,
0.04,,,,,,,,,,,,,,,,,13763,221.2239495,1024.3201198000004,1194.664113799999,1292.26619545,0.0,0,14.336,,,,,,,,,,,,,,,,
0.08,,,,,,,,,,,,,,,,,13234,237.804064,601.4969714,1185.1256723999988,1503.9149276,0.0,0,14.336,,,,,,,,,,,,,,,,
0.12,,,,,,,,,,,,,,,,,13163,228.859976,854.970583,1068.643949,1198.954261,0.0,0,14.336,,,,,,,,,,,,,,,,
0.16,,,,,,,,,,,,,,,,,13858,217.70111450000002,1008.9379483999984,1310.72629425,1416.6564057700002,0.0,0,14.336,,,,,,,,,,,,,,,,
0.2,,,,,,,,,,,,,,,,,10100,308.5089255,481.2400288,490.13186279999996,498.16710817,0.0,0,14.336,,,,,,,,,,,,,,,,
0.24,,,,,,,,,,,,,,,,,14327,213.964874,817.4160276,938.0728163,1031.0852099800009,0.0,0,14.336,,,,,,,,,,,,,,,,
0.28,,,,,,,,,,,,,,,,,14103,217.3076275,777.8432088000001,987.0057415999964,1211.21433567,0.0,0,14.336,,,,,,,,,,,,,,,,
0.32,,,,,,,,,,,,,,,,,14085,218.716186,614.1037785999999,981.2636123,1395.5339741999999,0.0,0,14.336,,,,,,,,,,,,,,,,
0.36,,,,,,,,,,,,,,,,,13542,227.25907,702.369333,759.191654,825.3342104999999,0.0,0,14.336,,,,,,,,,,,,,,,,
0.4,,,,,,,,,,,,,,,,,12724,247.35279,580.856243,613.7268478,635.34759272,0.0,0,14.336,,,,,,,,,,,,,,,,
0.44,,,,,,,,,,,,,,,,,13288,238.09785399999998,612.4850824,792.7111403499999,897.75094852,0.0,0,14.336,,,,,,,,,,,,,,,,
0.48,,,,,,,,,,,,,,,,,12247,252.644953,566.7750450000001,625.6011969,662.16585622,0.0,0,14.336,,,,,,,,,,,,,,,,
0.52,,,,,,,,,,,,,,,,,12618,245.07860399999998,563.8216907,586.1396455999999,630.30466785,0.0,0,14.336,,,,,,,,,,,,,,,,
0.56,,,,,,,,,,,,,,,,,12956,238.958573,650.6640016,756.3075845,860.9135492199999,0.0,0,14.336,,,,,,,,,,,,,,,,
0.6,,,,,,,,,,,,,,,,,10675,284.5748505,315.15475979999997,320.3617635,447.30056597000026,0.0,0,14.336,,,,,,,,,,,,,,,,
0.64,,,,,,,,,,,,,,,,,9755,320.84363,357.3491166,367.69059880000003,391.3445559999999,0.0,0,14.336,,,,,,,,,,,,,,,,
0.68,,,,,,,,,,,,,,,,,12116,260.8141205,498.231123,513.19340115,536.0250412299999,0.0,0,14.336,,,,,,,,,,,,,,,,
0.72,,,,,,,,,,,,,,,,,12027,263.5771585,515.62994,533.14364405,558.34727121,0.0,0,14.336,,,,,,,,,,,,,,,,
0.76,,,,,,,,,,,,,,,,,10915,298.611967,387.4896148,395.84111055,407.50148208,0.0,0,14.336,,,,,,,,,,,,,,,,
0.8,,,,,,,,,,,,,,,,,12729,242.038218,487.9404546,499.8887334,521.15370488,0.0,0,14.336,,,,,,,,,,,,,,,,
0.84,,,,,,,,,,,,,,,,,12862,248.942617,508.5217628,563.9779307,591.4980725199999,0.0,0,14.336,,,,,,,,,,,,,,,,
0.88,,,,,,,,,,,,,,,,,11482,288.49460799999997,475.1815365999998,507.9583066,534.88517101,0.0,0,14.336,,,,,,,,,,,,,,,,
0.92,,,,,,,,,,,,,,,,,12403,248.806253,493.1049378,512.05598915,532.23982269,0.0,0,14.336,,,,,,,,,,,,,,,,
0.96,,,,,,,,,,,,,,,,,12879,277.322199,398.9251812,406.32565305,417.256554,0.0,0,14.336,,,,,,,,,,,,,,,,
0.996,,,,,,,,,,,,,,,,,12157,272.151181,361.63928430000004,381.2764297499999,411.45161550000006,0.0,0,14.336,,,,,,,,,,,,,,,,
