Txn_ID,Start time,End time,Duration (ms),Log manager (ms),Scheduler (ms),Other (ms)
203190607806464,1748851277204856772,1748851277451350312,246.494,0.076,236.301,10.117
1739268481351681,1748851325729552240,1748851325929942559,200.39,4.737,192.225,3.428
563229126295553,1748851289461047346,1748851289643591598,182.544,0.891,171.944,9.709
1638345339830272,1748851322642777530,1748851322841102062,198.325,0.097,192.732,5.495
1643215832743936,1748851322795268595,1748851322992909100,197.641,0.267,192.229,5.144
1192682353328128,1748851309235144390,1748851309438187742,203.043,2.263,190.569,10.211
1107105129955328,1748851306623135297,1748851306820769180,197.634,0.056,189.872,7.706
1016678888505345,1748851303820994597,1748851304026222016,205.227,2.43,193.553,9.245
1499149744734208,1748851318413246516,1748851318608436727,195.19,4.509,183.634,7.048
77936476553217,1748851271301624981,1748851271625730344,324.105,1.562,314.291,8.252
632098926886913,1748851291660739947,1748851291879284498,218.545,2.691,209.296,6.558
1516162110193664,1748851318930707224,1748851319120903041,190.196,1.713,180.111,8.373
1558660811587584,1748851320215501457,1748851320411041932,195.54,5.294,186.38,3.866
542733542359040,1748851288798068148,1748851289000547067,202.479,3.848,192.478,6.153
1292978429624320,1748851312264384902,1748851312451175251,186.79,2.06,177.725,7.006
109556025786369,1748851272871621242,1748851273184056388,312.435,0.026,305.841,6.568
727722078765057,1748851294797697358,1748851295003742084,206.045,0.053,199.129,6.862
200059576647681,1748851277082679279,1748851277335330384,252.651,3.156,240.809,8.686
61302068215809,1748851270444589579,1748851270775784698,331.195,0.529,326.271,4.395
893834233905152,1748851299969279494,1748851300164456170,195.177,3.116,188.204,3.857
14263586390017,1748851268107599634,1748851268386636369,279.037,8.184,272.21,0.0
463774863589376,1748851286275223895,1748851286482291049,207.067,0.027,198.035,9.005
544713522282497,1748851288861570982,1748851289061515319,199.944,1.573,189.567,8.804
1483344265084928,1748851317932147352,1748851318123124678,190.977,6.143,184.389,0.445
311917704904705,1748851281129139877,1748851281364337068,235.197,0.624,224.427,10.147
1496370900893697,1748851318326223343,1748851318524267181,198.044,2.212,187.267,8.564
1384989514006528,1748851314993017689,1748851315187506640,194.489,0.694,181.405,12.39
966698354081792,1748851302241098928,1748851302441341430,200.243,0.045,193.954,6.244
1389258711498753,1748851315122500781,1748851315310419246,187.918,0.057,184.984,2.878
1171181747044352,1748851308588055359,1748851308777838956,189.784,0.206,178.632,10.947
1127489044742144,1748851307299348560,1748851307462339639,162.991,2.108,146.888,13.995
47644072214529,1748851269739690049,1748851270069834968,330.145,0.024,324.544,5.577
300729315098624,1748851280729819265,1748851280963541582,233.722,1.688,222.467,9.567
1430941369106432,1748851316346550600,1748851316545587392,199.037,0.596,187.544,10.897
646409757917185,1748851292139613316,1748851292350081360,210.468,0.051,202.368,8.049
530784943341568,1748851288426792052,1748851288630690090,203.898,3.298,191.368,9.231
450967271112704,1748851285863688198,1748851286073372087,209.684,4.102,201.821,3.761
501175438802945,1748851287470980265,1748851287681077596,210.097,1.612,205.825,2.66
1270249462693889,1748851311595186495,1748851311781041658,185.855,0.042,177.156,8.657
689518344667137,1748851293552673521,1748851293759080403,206.407,0.035,196.628,9.744
278532924112897,1748851279942478306,1748851280168385142,225.907,0.706,221.661,3.539
753371623456769,1748851295613481047,1748851295809637832,196.157,0.036,188.62,7.501
1641476370989056,1748851322742803468,1748851322942400686,199.597,2.522,190.793,6.283
1598174510710784,1748851321412088015,1748851321615851742,203.764,0.028,194.04,9.696
1422600542617601,1748851316100320954,1748851316294464321,194.143,2.304,181.717,10.122
758882066497536,1748851295782393700,1748851295988224065,205.83,0.812,191.527,13.491
609593298255872,1748851290923798589,1748851291132619628,208.821,1.095,197.106,10.62
1365430232940545,1748851314420070022,1748851314599007230,178.937,0.806,172.048,6.083
1474960488923136,1748851317677795933,1748851317873757544,195.962,0.768,187.729,7.465
578420425621505,1748851289908056748,1748851290113219878,205.163,1.087,197.066,7.011
722692672061441,1748851294640912577,1748851294849240384,208.328,6.493,198.716,3.119
1364493930070017,1748851314392652547,1748851314575175990,182.523,1.765,178.301,2.457
1555804658335745,1748851320132701658,1748851320329973194,197.272,0.045,187.348,9.879
623891244384256,1748851291390986904,1748851291604145871,213.159,1.956,204.213,6.989
1523412014989312,1748851319142776867,1748851319340156004,197.379,3.764,187.137,6.478
1057841855070209,1748851305099798067,1748851305304725516,204.927,8.074,196.648,0.206
1665695691571200,1748851323485675927,1748851323685049418,199.373,6.108,191.293,1.973
864117355184129,1748851299049349064,1748851299243452937,194.104,4.003,189.437,0.663
1142134883221504,1748851307706493620,1748851307903549534,197.056,2.72,186.936,7.4
1429867627282432,1748851316316101605,1748851316512572857,196.471,3.167,184.997,8.307
369096604516352,1748851283147207704,1748851283370454995,223.247,0.033,213.331,9.884
434259848331264,1748851285320875720,1748851285532034653,211.159,0.691,202.286,8.182
1479753672425473,1748851317822091068,1748851318008192972,186.102,1.325,180.949,3.828
1620340836925440,1748851322094944450,1748851322288137803,193.193,4.496,182.482,6.216
409005440630785,1748851284490590398,1748851284707472746,216.882,6.476,208.03,2.377
1011357424025601,1748851303653192968,1748851303851239852,198.047,0.594,191.597,5.856
71871982731265,1748851270981046652,1748851271324057571,343.011,11.087,329.835,2.089
325202038751233,1748851281608556472,1748851281828674701,220.118,0.475,213.747,5.896
1600558217560064,1748851321487077102,1748851321691455987,204.379,5.79,195.405,3.184
390902153478144,1748851283899088141,1748851284105917341,206.829,0.071,197.868,8.891
306222578270208,1748851280924472133,1748851281153440164,228.968,0.268,220.901,7.8
1134953697902592,1748851307491333678,1748851307683586014,192.252,1.709,181.734,8.81
1041181676929024,1748851304583321837,1748851304782631668,199.31,0.044,187.659,11.606
325103254503425,1748851281604134486,1748851281827691956,223.557,0.035,218.702,4.821
905868732268544,1748851300334326170,1748851300538690659,204.364,0.037,192.0,12.327
1671407998074880,1748851323661930467,1748851323857581097,195.651,1.021,189.939,4.691
1776892394864641,1748851326864756864,1748851327061613165,196.856,0.023,187.876,8.957
91998199480321,1748851272010174825,1748851272321702888,311.528,0.032,304.642,6.854
651516474032129,1748851292309598041,1748851292520085370,210.487,0.491,198.103,11.894
1756422580731905,1748851326255567128,1748851326451102693,195.536,0.101,189.488,5.946
297422190280704,1748851280616068633,1748851280844272698,228.204,5.815,217.569,4.821
777715498090497,1748851296381953199,1748851296580924148,198.971,0.039,193.453,5.479
1204111261302784,1748851309586558906,1748851309774904458,188.346,5.986,180.925,1.435
877972919681025,1748851299475971457,1748851299678507221,202.536,1.203,192.301,9.032
1683399546765312,1748851324030979033,1748851324229022451,198.043,3.531,187.092,7.42
869649273061376,1748851299217481421,1748851299415894449,198.413,3.031,190.729,4.654
1376880615751680,1748851314745653594,1748851314943403654,197.75,0.096,191.047,6.607
630484019183616,1748851291607581465,1748851291822940379,215.359,0.069,203.887,11.403
1220037000036352,1748851310075752001,1748851310272215850,196.464,3.312,185.939,7.213
891910088556545,1748851299910049387,1748851300106155478,196.106,1.694,190.715,3.697
