Txn_ID,Is MP,Is MH,Start time,End time,Duration (ms),Server (ms),Fwd (ms),MH orderer (ms),Seq (ms),Log man (ms),Sched (ms),Worker (ms),Wait (ms),Other (ms)
514511312257025,True,False,1749146940123564431,1749146940383014936,259.451,0.625,0.921,0.0,2.654,0.036,246.113,1.089,0.0,12.213
1255307271471104,True,False,1749146967570649870,1749146967781006545,210.357,0.412,0.756,0.0,1.231,0.346,200.896,1.255,0.0,7.86
23673859735553,True,True,1749146918550347396,1749146918853820622,303.473,0.005,0.0,0.0,9.531,0.078,287.791,1.496,0.0,14.108
1283336228044800,True,False,1749146968473087789,1749146968676271332,203.184,0.069,0.861,0.0,0.083,0.122,195.416,0.588,0.0,7.058
1396637465313280,True,False,1749146972143766467,1749146972354577861,210.811,0.168,0.446,0.0,1.181,0.312,202.995,2.065,0.0,5.439
306325657485313,False,True,1749146931636283816,1749146931920596349,284.313,0.0,0.0,0.0,8.35,0.669,273.312,0.056,0.0,10.276
1056630674292737,True,False,1749146961165470520,1749146961386875353,221.405,0.087,0.549,0.0,1.649,0.032,208.288,0.914,0.0,12.171
1412412880191488,True,False,1749146972664708344,1749146972868889980,204.182,0.038,0.567,0.0,3.799,0.095,191.384,3.439,0.0,9.264
144366735720448,False,True,1749146924019154925,1749146924322400968,303.246,0.0,0.401,0.0,8.523,1.55,293.287,0.046,0.0,8.363
533250254569473,False,False,1749146940882150985,1749146941136958130,254.807,0.001,0.279,0.0,0.0,0.0,247.466,0.025,0.0,7.316
1438796864290816,True,False,1749146973512459853,1749146973734699674,222.24,0.269,0.389,0.0,7.662,0.042,209.593,1.234,0.0,11.371
882976556580865,False,False,1749146954761062142,1749146954997783972,236.722,0.0,0.011,0.0,2.003,0.041,232.676,0.025,0.0,3.98
89339614724096,False,False,1749146921577063796,1749146921849667950,272.604,0.0,0.374,0.0,1.63,0.06,267.807,0.026,0.0,4.711
1436748164890625,True,True,1749146973442411623,1749146973677899448,235.488,0.274,0.0,0.0,10.059,0.116,213.523,2.33,0.0,19.519
