x_var,Calvin_throughput,Calvin_p50,Calvin_p90,Calvin_p95,Calvin_p99,Calvin_aborts,Calvin_bytes,Calvin_cost,SLOG_throughput,SLOG_p50,SLOG_p90,SLOG_p95,SLOG_p99,SLOG_aborts,SLOG_bytes,SLOG_cost,Detock_throughput,Detock_p50,Detock_p90,Detock_p95,Detock_p99,Detock_aborts,Detock_bytes,Detock_cost,Caerus_throughput,Caerus_p50,Caerus_p90,Caerus_p95,Caerus_p99,Caerus_aborts,Caerus_bytes,Caerus_cost,Mencius_throughput,Mencius_p50,Mencius_p90,Mencius_p95,Mencius_p99,Mencius_aborts,Mencius_bytes,Mencius_cost
0.0,,,,,,,,,,,,,,,,,11992,274.4107035,591.1762505,643.5807007499999,657.93974917,0.0,2912634878,0.09807491978222221,,,,,,,,,,,,,,,,
0.04,,,,,,,,,,,,,,,,,9855,299.9650795,403.8937648,447.09220674999995,480.6251294300001,0.0,3213019749,0.10408261720222223,,,,,,,,,,,,,,,,
0.08,,,,,,,,,,,,,,,,,11356,290.08709899999997,445.5344713,451.31852815,462.35253699000003,0.0,3131330482,0.10244883186222223,,,,,,,,,,,,,,,,
0.12,,,,,,,,,,,,,,,,,8832,320.13865350000003,373.39155700000003,404.7009537499998,450.16711059,0.0,3164202651,0.10310627524222224,,,,,,,,,,,,,,,,
0.16,,,,,,,,,,,,,,,,,8704,321.859289,361.7242845,369.4105414,381.59326086000016,0.0,3377001128,0.10736224478222223,,,,,,,,,,,,,,,,
0.2,,,,,,,,,,,,,,,,,7302,289.9323065,469.2688307,477.56245035,484.90644064,0.0,3354517234,0.10691256690222223,,,,,,,,,,,,,,,,
0.24,,,,,,,,,,,,,,,,,9865,311.1633195,344.34085719999996,347.8960041,352.91586427000004,0.0,3324838440,0.10631899102222223,,,,,,,,,,,,,,,,
0.28,,,,,,,,,,,,,,,,,7104,260.3350425,524.6848385,541.7222826,548.6208383300001,0.0,3013006712,0.10008235646222222,,,,,,,,,,,,,,,,
0.32,,,,,,,,,,,,,,,,,7640,314.88558049999995,453.37630310000003,472.61693649999995,479.66293022,0.0,3213807336,0.10409836894222224,,,,,,,,,,,,,,,,
0.36,,,,,,,,,,,,,,,,,8451,302.8414785,385.5249703,398.93293739999996,412.01144330000005,0.0,3154777907,0.10291778036222224,,,,,,,,,,,,,,,,
0.4,,,,,,,,,,,,,,,,,10927,290.041152,370.4687178,381.19017415,393.96009073000005,0.0,3445512293,0.10873246808222223,,,,,,,,,,,,,,,,
0.44,,,,,,,,,,,,,,,,,10123,291.2559535,316.7072357,322.36220314999997,334.4639127300001,0.0,3650201732,0.11282625686222222,,,,,,,,,,,,,,,,
0.48,,,,,,,,,,,,,,,,,10812,280.920247,328.0624458,354.3970168,454.23253514000015,0.0,3718524477,0.11419271176222223,,,,,,,,,,,,,,,,
0.52,,,,,,,,,,,,,,,,,10992,284.96033950000003,321.0002222,328.21841425,334.47739307,0.0,3725851882,0.11433925986222224,,,,,,,,,,,,,,,,
0.56,,,,,,,,,,,,,,,,,11600,279.934615,338.0013054,344.42022705,355.8219783000001,0.0,3516780753,0.11015783728222223,,,,,,,,,,,,,,,,
0.6,,,,,,,,,,,,,,,,,10994,288.07563300000004,314.1187139,322.9762151,479.10411873000004,0.0,3414167061,0.10810556344222222,,,,,,,,,,,,,,,,
0.64,,,,,,,,,,,,,,,,,11149,274.1301375,332.8744405,340.96964964999995,350.66283883,0.0,3609437584,0.11201097390222223,,,,,,,,,,,,,,,,
0.68,,,,,,,,,,,,,,,,,10870,276.5626605,294.5677346,302.12715634999995,356.33480614,0.0,3760180769,0.11502583760222224,,,,,,,,,,,,,,,,
0.72,,,,,,,,,,,,,,,,,11421,274.09205799999995,307.9795,316.16735059999996,354.0170406,0.0,3613293277,0.11208808776222223,,,,,,,,,,,,,,,,
0.76,,,,,,,,,,,,,,,,,13247,274.21842549999997,408.67102420000003,482.88300669999984,796.33165564,0.0,3427101349,0.10836424920222223,,,,,,,,,,,,,,,,
0.8,,,,,,,,,,,,,,,,,10756,267.645626,314.8639672,320.7416891,327.24652031000005,0.0,3653340149,0.11288902520222222,,,,,,,,,,,,,,,,
0.84,,,,,,,,,,,,,,,,,9924,267.0420735,345.8147791,356.81420384999996,368.08771121,0.0,3744569171,0.11471360564222222,,,,,,,,,,,,,,,,
0.88,,,,,,,,,,,,,,,,,11587,301.0899695,342.37621920000004,351.89905819999996,360.99453012000004,0.0,3456123242,0.10894468706222224,,,,,,,,,,,,,,,,
0.92,,,,,,,,,,,,,,,,,9756,245.9713545,361.5667897,368.01379395,377.66438391,0.0,3678928181,0.11340078584222221,,,,,,,,,,,,,,,,
0.96,,,,,,,,,,,,,,,,,8846,276.980326,370.7907183,418.73902549999974,586.2774697200006,0.0,3273125843,0.10528473908222225,,,,,,,,,,,,,,,,
0.996,,,,,,,,,,,,,,,,,266,11142.502840500001,11276.582220100001,11310.409369750001,11311.25749484,0.0,54726983,0.04091676188222222,,,,,,,,,,,,,,,,
