txn_id,coordinator,regions,partitions,generator,restarts,global_log_pos,sent_at,received_at
278953847685120,16777216,0;1,0;1,0,0,1;255665;0;255880;-1;1;250151;0;250241,1744201289179131209,1744201289580221180
283296059621376,16777216,0;1,1;0,0,0,1;256778;0;256876;-1;1;262398;0;262578,1744201289449713263,1744201289871792896
217157858230272,16777216,1,1,0,0,1;171307,1744201286035431350,1744201286299040851
96997558190081,16777217,1,1,0,0,1;47155,1744201281674478760,1744201281861390941
273606613401600,16777216,0;1,1;0,0,0,1;242207;0;242456;-1;1;247720;0;247987,1744201288864342402,1744201289246319798
118111617417217,16777217,0;1,0;1,0,0,1;78751;0;79095;-1;1;72790;0;72886,1744201282482410781,1744201282718784361
252810381754368,16777216,0;1,1,0,0,1;213571;0;213669,1744201287707755263,1744201288063177416
282711944069120,16777216,0;1,1;0,0,0,1;255883;0;256086;-1;1;261500;0;261702,1744201289415446183,1744201289835622950
124652852609025,16777217,0;1,0;1,0,0,1;85726;0;85890;-1;0;79628;1;79698,1744201282720877766,1744201282949384689
153686831529985,16777217,1,1;0,0,0,1;108869;-1;1;114813,1744201283741278341,1744201283969806042
86917269946369,16777217,1,1;0,0,0,1;40998;-1;1;46987,1744201281478597411,1744201281591979260
296305515560961,16777217,0;1,1,0,0,1;277149;0;277254,1744201290313363795,1744201290742564251
181269111504897,16777217,1,1,0,0,1;135155,1744201284698366507,1744201284916143801
227500139479041,16777217,1,0,0,0,1;188545,1744201286470883072,1744201286758382828
226722750398465,16777217,0;1,1,0,0,1;181870;0;181948,1744201286435421247,1744201286722777643
185306380763137,16777217,1,1,0,0,1;138926,1744201284835673315,1744201285055062037
307347876478976,16777216,1,0;1,0,0,1;299554;-1;1;294065,1744201291056749802,1744201291464240512
275809931624449,16777217,0;1,1,0,0,1;245607;0;245815,1744201288998085239,1744201289387736299
137052423192577,16777217,1,1,0,0,1;92162,1744201283161763316,1744201283382293926
244370771017729,16777217,0;1,0,0,0,1;208247;0;208324,1744201287266055257,1744201287602362673
90013941366785,16777217,1,0,0,0,1;48529,1744201281531918006,1744201281657448559
129746683822080,16777216,1,0;1,0,0,1;91056;-1;1;85022,1744201282903393241,1744201283132968753
111222489874433,16777217,0;1,1;0,0,0,1;64853;0;65014;-1;1;70798;0;70971,1744201282201431288,1744201282467410416
101756381954048,16777216,1,1,0,0,1;53121,1744201281795415129,1744201282068189650
251539071434753,16777217,1,1;0,0,0,1;211850;-1;1;217461,1744201287638621576,1744201287990790496
152192182910976,16777216,1,1;0,0,0,1;107435;-1;1;113328,1744201283691715610,1744201283913955823
249005040730113,16777217,1,1;0,0,0,1;208453;-1;1;214000,1744201287504942438,1744201287844146278
278850768470016,16777216,0;1,0,0,0,1;255603;0;255752,1744201289174820276,1744201289574318735
120525389037569,16777217,0;1,0,0,0,1;81397;0;81698,1744201282569293070,1744201282804840617
218111340969984,16777216,1,0;1,0,0,1;178327;-1;1;172364,1744201286073451945,1744201286341596670
116531069452288,16777216,0;1,0,0,0,1;77039;0;77160,1744201282422043262,1744201282664127816
123394427191297,16777217,0;1,0;1,0,0,1;84502;0;84640;-1;1;78405;0;78524,1744201282677738479,1744201282907264328
106618284933120,16777216,0;1,1,0,0,1;59377;0;59523,1744201282015915153,1744201282279962539
291898879115264,16777216,1,0,0,0,1;275923,1744201290012764651,1744201290443398973
123003585167361,16777217,0;1,1,0,0,1;78005;0;78129,1744201282666599061,1744201282893927920
234569655648257,16777217,0;1,0,0,0,1;196398;0;196683,1744201286786121937,1744201287097782116
138624381222913,16777217,0;1,1;0,0,0,1;93986;0;94083;-1;1;100058;0;100158,1744201283216658670,1744201283443552911
281904490217473,16777217,1,1,0,0,1;254635,1744201289363281323,1744201289779092524
203551401836544,16777216,0;1,1;0,0,0,1;156881;0;157026;-1;1;162820;0;163071,1744201285493059576,1744201285752930270
297439386927105,16777217,0;1,0,0,0,1;284730;0;284929,1744201290390724183,1744201290821214244
217269527379969,16777217,1,1;0,0,0,1;171520;-1;1;177364,1744201286040575840,1744201286309180249
220873004941312,16777216,0;1,1;0,0,0,1;175371;0;175544;-1;1;181287;0;181453,1744201286191209306,1744201286462262038
270664560803841,16777217,0;1,0;1,0,0,1;243665;0;243935;-1;1;238198;0;238291,1744201288696267303,1744201289072792752
165128624406528,16777216,0;1,1;0,0,0,1;120058;0;120123;-1;1;126075;0;126141,1744201284144314596,1744201284367119260
281724101591041,16777217,1,1,0,0,1;254402,1744201289352242254,1744201289771247959
180324218699777,16777217,1,0,0,0,1;140253,1744201284664699846,1744201284890227317
249125299814400,16777216,0;1,0,0,0,1;214295;0;214540,1744201287509872976,1744201287855603814
308275589414912,16777216,0;1,1,0,0,1;295483;0;295625,1744201291113958884,1744201291521725011
277867220959233,16777217,1,1,0,0,1;248580,1744201289117897382,1744201289511224622
117385767944193,16777217,1,0;1,0,0,1;78065;-1;1;72013,1744201282457861608,1744201282696719276
176836705255424,16777216,1,0;1,0,0,1;137049;-1;1;131177,1744201284546155304,1744201284767267025
196237072531456,16777216,1,1;0,0,0,1;149531;-1;1;155540,1744201285222456218,1744201285453502813
170170916012033,16777217,0;1,0;1,0,0,0;131022;1;131076;-1;0;125026;1;125080,1744201284320305116,1744201284543179560
114761542926337,16777217,0;1,0,0,0,1;74975;0;75062,1744201282343465713,1744201282596177242
183051522932737,16777217,1,0;1,0,0,1;142895;-1;1;136911,1744201284760867807,1744201284984670296
83880728068097,16777217,1,1;0,0,0,1;39431;-1;1;45382,1744201281390730462,1744201281527897017
133148297920512,16777216,0;1,0,0,0,1;94492;0;94610,1744201283018120709,1744201283247131268
242137388023808,16777216,0;1,1,0,0,1;199561;0;199802,1744201287149681527,1744201287482214287
169457951440896,16777216,0;1,1,0,0,1;124278;0;124404,1744201284294311407,1744201284515059595
265600794361856,16777216,0;1,0;1,0,0,1;236720;0;236819;-1;1;231085;0;231177,1744201288410549678,1744201288782421320
235269735317504,16777216,0;1,1;0,0,0,1;191332;0;191447;-1;1;197187;0;197301,1744201286814317655,1744201287131005593
161847269392384,16777216,1,1,0,0,1;117001,1744201284031874078,1744201284251931658
