Time,CPU_util,Mem_util,Net_util,Disk_util
0,0.6,5.1,0.02,0.02
1,0.7,5.2,0.01,0.0
2,1.0,5.3,0.02,0.0
3,0.7,5.4,0.02,0.24
4,4.2,5.5,254.98,0.0
5,5.3,5.6,335.42,0.0
6,5.3,5.6,346.38,0.0
7,5.2,5.6,338.49,0.0
8,5.6,5.6,333.19,0.0
9,5.2,5.7,330.09,0.08
10,5.2,5.7,327.94,0.57
11,5.1,5.7,326.41,0.0
12,5.2,5.7,324.17,0.0
13,5.3,5.8,320.87,0.0
14,3.5,5.8,174.38,0.07
15,0.6,5.8,16.94,0.02
16,0.7,5.8,0.02,0.0
17,0.7,5.8,0.01,0.0
18,0.5,5.8,0.01,0.0
19,0.7,5.8,0.02,0.06
20,0.6,5.8,0.01,0.0
21,0.6,5.8,0.01,0.08
22,0.6,5.8,0.01,1.13
23,0.7,5.8,0.01,0.0
24,0.6,5.8,0.04,0.0
25,0.6,5.8,0.01,0.0
26,1.0,5.8,0.02,0.0
27,0.6,5.8,0.01,3.74
28,0.6,5.8,0.02,0.0
29,0.7,5.8,0.01,0.0
30,0.5,5.8,0.02,0.0
31,0.7,5.8,0.01,0.0
32,0.6,5.8,0.01,0.15
33,0.7,5.8,0.01,0.0
34,0.7,5.7,0.04,0.0
35,0.5,5.7,0.01,0.0
36,0.9,4.4,0.02,9.51
37,0.8,2.9,0.01,1.99
38,0.2,2.9,0.02,0.06
39,0.2,2.9,0.01,0.0
40,0.4,2.9,0.03,0.0
41,0.6,2.9,0.04,0.07
42,0.2,2.9,0.03,0.0
43,0.3,2.9,0.01,0.16
44,0.2,2.9,0.04,0.02
45,0.4,3.0,0.1,5.14
46,0.9,3.0,0.06,7.48
47,0.8,3.1,0.01,4.81
48,0.6,3.2,0.02,0.0
49,0.7,3.3,0.01,0.0
50,0.7,3.4,0.01,0.15
51,0.6,3.5,0.01,0.0
52,0.6,3.6,0.01,0.38
53,1.0,3.7,0.02,0.0
54,0.6,3.8,0.04,0.0
55,0.6,3.9,0.02,0.0
56,0.6,4.0,0.02,0.02
57,0.6,4.1,0.01,0.2
58,0.6,4.2,0.01,0.0
59,0.6,4.3,0.01,0.0
60,0.7,4.4,0.02,0.02
61,0.6,4.5,0.01,0.0
62,0.8,4.6,0.02,0.02
63,0.8,4.8,0.02,0.01
64,0.5,4.9,0.03,0.0
65,0.7,5.0,0.01,0.0
66,0.6,5.1,0.02,0.0
67,0.7,5.2,0.01,0.08
68,0.6,5.3,0.02,0.02
69,0.7,5.4,0.02,0.0
70,0.5,5.5,0.02,0.0
71,4.9,5.6,288.05,0.0
72,5.3,5.6,306.37,0.08
73,5.2,5.6,318.58,0.0
74,5.4,5.6,310.9,0.0
75,5.3,5.7,300.85,0.0
76,5.2,5.7,294.32,0.03
77,5.2,5.7,293.69,0.67
78,5.2,5.7,286.08,0.02
79,5.6,5.7,275.45,0.0
80,5.2,5.8,266.31,0.04
81,1.9,5.8,103.35,0.0
82,0.4,5.8,0.01,0.0
83,0.6,5.8,0.02,0.0
84,0.7,5.8,0.03,0.08
85,0.6,5.8,0.03,0.0
86,0.6,5.8,0.02,0.03
87,0.6,5.8,0.01,0.0
88,0.5,5.8,0.01,0.0
89,0.6,5.8,0.01,0.0
90,0.6,5.8,0.02,0.02
91,0.6,5.8,0.01,0.0
92,0.8,5.8,0.01,0.0
93,0.6,5.8,0.02,0.06
94,0.7,5.8,0.04,0.0
95,0.6,5.8,0.03,0.0
96,0.8,5.8,0.02,0.07
97,0.7,5.8,0.01,0.0
98,0.6,5.8,0.02,0.01
99,0.6,5.8,0.01,0.0
100,0.6,5.8,0.01,0.05
101,0.7,5.6,0.01,0.0
102,0.6,5.6,0.02,10.22
103,1.0,2.9,0.02,3.06
104,1.0,2.9,0.03,0.03
105,0.2,2.9,0.02,0.0
106,0.3,2.9,0.03,0.0
107,0.3,2.9,0.01,0.05
108,0.3,2.9,0.02,0.01
109,0.2,2.9,0.01,0.17
110,0.3,2.9,0.03,0.0
111,0.6,2.9,0.04,0.07
112,0.2,2.9,0.02,0.0
113,0.2,2.9,0.01,4.99
114,0.3,2.9,0.03,0.0
115,0.5,2.9,0.06,0.43
116,0.2,2.9,0.02,0.0
117,0.2,2.9,0.01,0.0
118,0.4,3.0,0.08,4.47
119,0.9,3.0,0.06,8.22
120,0.8,3.1,0.01,0.0
121,0.6,3.2,0.02,0.0
122,0.7,3.3,0.01,0.0
123,0.7,3.4,0.02,0.0
124,0.7,3.5,0.02,0.15
125,0.6,3.6,0.02,1.12
126,0.6,3.7,0.02,0.0
127,1.1,3.8,0.01,0.0
128,0.6,3.9,0.01,0.0
129,0.6,4.0,0.01,0.16
130,0.6,4.1,0.02,0.02
131,0.6,4.2,0.02,0.04
132,1.0,4.3,0.01,0.0
133,0.6,4.4,0.02,0.0
134,0.7,4.5,0.02,0.02
135,0.6,4.6,0.02,0.0
136,0.6,4.7,0.02,0.05
137,0.6,4.8,0.01,0.0
138,0.6,5.0,0.02,0.0
139,0.8,5.1,0.01,0.02
140,0.6,5.2,0.02,0.0
141,0.6,5.3,0.01,0.0
142,0.6,5.4,0.01,0.07
143,1.5,5.5,71.02,0.0
144,5.2,5.6,372.89,0.0
145,5.2,5.6,463.49,0.0
146,5.3,5.7,409.05,0.0
